Title,What it Does,Built With,By,Location
davv ai,"davv_ai is an ai-powered assistant designed to simplify tasks across various operating systems through intuitive voice and text interactions. it offers users, including those who are visually impaired, the ability to perform a wide range of tasks by simply speaking commands like ""open google,"" ""search music on youtube,"" or ""shutdown computer."" one of its standout features is the streaming record function, once activated, you can start recording by simply saying ""hi google"", this feature allows users to record their sessions in real-time, providing immediate feedback and making interactions with the computer more accessible and manageable.
davv_ai leverages the gemini ai api to interpret natural language commands and convert them into executable python code. the api processes the user's input, understanding the intent behind commands, and generates the corresponding code to execute the desired tasks. for more complex projects, such as developing a snake game or a shopping website, davv_ai uses the gemini ai api to generate the necessary code and files, enabling users to focus on customization and refinement. the integration with the gemini ai api is central to davv_ai’s ability to seamlessly transform natural language into actionable code, enhancing productivity and accessibility for all users.","web/chrome, google speech recognition","ali debbache, abdou guerguer",algeria
elfelah,"elfelah is an ai-powered farming app that supports farmers by providing real-time disease diagnosis, crop management strategies, and actionable insights. during a challenging season, elfelah's ai advisor played a crucial role in diagnosing plant diseases that local advisors couldn't identify, helping to save valuable crops. the app also offers features like detailed land analysis (including ph and salinity), access to historical data, satellite ndvi data, and water management tools, empowering farmers to optimize their practices and increase yields.
the gemini api integration enables elfelah to enhance its ai capabilities by providing seamless access to external data and advanced machine learning models. this integration allows for more accurate disease diagnoses and optimized crop layouts, and it generates specific tasks for farm workers, making operations more efficient. by leveraging the gemini api, elfelah transforms the farming experience, offering comprehensive support and guidance to tackle challenges and improve agricultural outcomes.",web/chrome,elfelah,algeria
formblueprint,"formblueprint simplifies the creation and analysis of google forms with a gemini-like conversational experience for businesses, educators, and researchers.

start by describing your form or questions, and formblueprint will generate the corresponding form fields and sections, complete with validation and branching logic. all while interacting with an intuitive, google forms-like interface.

once responses are collected, effortlessly analyze your data through conversation to gain intelligent insights and make data-driven decisions.

simply put, formblueprint's mission is transforming how users create and analyze forms using ai.

--

use case:

for example, you could tell formblueprint, ""hey, i've started a new company, and my designer provided three logo options. can you create a survey asking my audience which logo resonates most with them?"" and then continue to analyze the results, ""hey, can you summarize the results and categorize the feedback into groups?"".

--

usage of gemini api:

the gemini api provides form schemas using tailored system instructions to produce an intermediate representation. this representation is then converted and integrated via the google forms api.

additionally, the gemini api large context capability is leveraged to analyze form responses and produce insight representations in various formats (charts, kpis, tables, observations, recommendations), which are then converted into interactive visuals for the end-user.","web/chrome, google drive, google auth","mohamed boudelaa, amina daoud",algeria
geogemini,"geogemini is an innovative web application designed to analyze satellite imagery for environmental monitoring and climate change assessment. leveraging the advanced capabilities of the gemini api, geogemini enables users to upload satellite images or time-lapse videos, which the app processes to detect changes over time and analyze various environmental factors. users can choose from a range of analysis types, such as vegetation health, deforestation, and air pollution, and the app generates detailed insights based on the selected parameters.
by integrating the gemini api, geogemini offers a robust platform for comparing satellite images, identifying trends, and understanding the impact of natural and human activities on the environment. the app’s core functionality includes uploading imagery, selecting analysis types, and receiving ai-generated reports that highlight key changes and features within the images. the gemini api's generative ai model flash is used to process and compare the uploaded imagery, providing high-level analysis for research, education, and sustainability efforts.","web/chrome, firebase",ahmane oussama,algeria
khalili,"khalili is a mobile application designed to assist the blind and visually impaired. the app leverages the advanced capabilities of the gemini api, along with a suite of features that help users accomplish their daily tasks. users simply point their phone's camera at objects they wish to identify, and the app utilizes gemini’s powerful image analysis to recognize and describe them.

in addition, the app features a text-to-speech function, enabling it to read aloud any text captured by the camera in a clear voice, making it easier for users to access written information in real-time.
the app also integrates with location analysis services, allowing users to navigate to their destinations safely and efficiently.

all these features are seamlessly integrated with voice commands, ensuring that the app is easy to use.","android, most impact app, most useful app.","boutheyna kirouni, ilies ould menouer",algeria
moadalaty,"i used the gemini api in an application to open the largest possible number of specializations and years for university students, so that i, as a developer, could add specializations in an easy and smooth way that did not take me much effort. indeed, it was accepted and approved by my university, and they published and distributed it to university students, and it is available in google play platform",android,abonidal,algeria
nogap,"nogap helps you in your self learning journey by tracking and identifying the skills you lack to achieve your goal whether it's landing a job, following an idol, or to build your own business.

main features:

- identifying the gaps in your skills using gemini from job descriptions, profiles or business goals
- generating currated roadmaps based on your background using gemini
- tracking progress, and using gemini, knowledge validation at each step through quizzes
- adding bookmarks and generating notes from content using gemini","web/chrome, firebase",kohort,algeria
nojoom.ai,"nojoom.ai is the first ai-powered arabic search engine, using the gemini 1.5 pro api to revolutionize arabic content interaction. it offers advanced search with deep language understanding, prioritizes reliable sources, and provides instant answers. additionally, it generates unique arabic content like summaries and articles. nojoom.ai learns from user interactions to improve results over time. powered by gemini 1.5 pro, it excels in understanding complex arabic, generating relevant text, and translating between languages, making it more than just a search engine but a personal ai guide for arabic users online.","flutter, android, web/chrome",nojoom.ai,algeria
smartchatbot,"""smartchatbot"" redefines communication with its advanced ai-driven chat capabilities. whether the user need assistance, information, or entertainment.
""smartchatbot"" as an advanced ai-driven chat application that utilizes the gemini api for enhancing user interactions and delivering personalized experiences, while ensuring data security and privacy.",android,techdigit-z,algeria
agro.ia,"agro.ia is an innovative app that uses artificial intelligence to help farmers quickly and accurately identify crop diseases. simply take a photo of the affected plant, and agro.ia analyzes the image to detect potential diseases. the app then recommends the best pesticide for treatment and suggests nearby locations where the product can be purchased.

agro.ia stands out for its integration with the gemini api, which provides powerful computer vision and machine learning capabilities. we use the gemini api to process and analyze the images submitted by users, applying trained models to identify patterns corresponding to various plant diseases. this allows agro.ia to deliver fast and accurate diagnoses, improving farmers' efficiency and reducing crop losses. additionally, the api enables continuous updates to the disease database, ensuring the app remains current with the latest agronomic information.

with agro.ia, farmers can make informed decisions in real-time, preserving the health of their crops and boosting productivity.",flutter,agro.ia,angola
